Event Name,Event Date,Event Time,Event Location,Event URL
"Monuments to Motherhood","April 22, 2025 - May 1, 2026","","Entrance—Grand Army Plaza","https://www.prospectpark.org/event/monuments-to-motherhood/"
"Greenmarket at Grand Army Plaza","October 25, 8:00 am - 4:00 pm","","Grand Army Plaza","https://www.prospectpark.org/event/greenmarket-at-grand-army-plaza-2/2025-10-25/"
"Spooktober! At Prospect Park Zoo","October 25, 10:00 am - 5:30 pm","","Points of Interest—Prospect Park Zoo","https://www.prospectpark.org/event/spooktober-at-prospect-park-zoo/2025-10-25/"
"Harvest Fest + First Skate Weekend at Lakeside!","October 25, 11:00 am - 6:00 pm","","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside/2025-10-25/"
"Voices of Lunáapeew/Lenape","October 25, 12:00 pm - 4:00 pm","","Lefferts Historic House","https://www.prospectpark.org/event/voices-of-lunaapeew-lenape-2/2025-10-25/"
"ReImagine Lefferts Open Hours","October 25, 12:00 pm - 4:00 pm","","Lefferts Historic House","https://www.prospectpark.org/event/reimagine-lefferts-open-hours-9-3/2025-10-25/"
"Pop Up Audubon: Fall Conservation Action","October 25, 12:00 pm - 4:00 pm","","Concert Grove Pavilion","https://www.prospectpark.org/event/popupaudubon/2025-10-25/"
"Pop Up Audubon: Tree Appreciation Month","October 25, 12:00 pm - 4:00 pm","","Nethermead Arches","https://www.prospectpark.org/event/pop-up-audubon-tree-appreciation-month/2025-10-25/"
"Carousel Rides","October 25, 12:00 pm - 5:00 pm","","Carousel","https://www.prospectpark.org/event/carousel-rides-8/2025-10-25/"
"Haunted Carousel","October 25, 12:00 pm - 5:00 pm","","Carousel","https://www.prospectpark.org/event/haunted-carousel-3/2025-10-25/"
"Sunday Greenmarket at Bartel-Pritchard Square","October 26, 9:00 am - 2:00 pm","","Bartel-Pritchard Square","https://www.prospectpark.org/event/sunday-greenmarket-at-bartel-pritchard-square-3/2025-10-26/"
"Cancelled: October Weekend Nature Exploration","October 26, 10:00 am - 1:00 pm","","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/october-weekend-nature-exploration-4/"
"Brooklyn FAM Festival!","October 26","10:00 am - 3:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/brooklyn-fam-festival/"
"Spooktober! At Prospect Park Zoo","October 26","10:00 am - 5:30 pm","Points of Interest—Prospect Park Zoo","https://www.prospectpark.org/event/spooktober-at-prospect-park-zoo/2025-10-26/"
"Park Pitch In: World Sustainability Day","October 26","11:00 am - 2:00 pm","Entrance–Willink","https://www.prospectpark.org/event/park-pitch-in-world-sustainability-day-2/"
"Smorgasburg","October 26","11:00 am - 6:00 pm","Breeze Hill","https://www.prospectpark.org/event/smorgasburg-3/2025-10-26/"
"Harvest Fest + First Skate Weekend at Lakeside!","October 26","11:00 am - 6:00 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside/2025-10-26/"
"Voices of Lunáapeew/Lenape","October 26","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/voices-of-lunaapeew-lenape-2/2025-10-26/"
"ReImagine Lefferts Open Hours","October 26","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/reimagine-lefferts-open-hours-9-3/2025-10-26/"
"Pop Up Audubon: Fall Conservation Action","October 26","12:00 pm - 4:00 pm","Concert Grove Pavilion","https://www.prospectpark.org/event/popupaudubon/2025-10-26/"
"Pop Up Audubon: Tree Appreciation Month","October 26","12:00 pm - 4:00 pm","Nethermead Arches","https://www.prospectpark.org/event/pop-up-audubon-tree-appreciation-month/2025-10-26/"
"Carousel Rides","October 26","12:00 pm - 5:00 pm","Carousel","https://www.prospectpark.org/event/carousel-rides-8/2025-10-26/"
"Haunted Carousel","October 26","12:00 pm - 5:00 pm","Carousel","https://www.prospectpark.org/event/haunted-carousel-3/2025-10-26/"
"Prospect Park Tennis Center Open House","October 26","1:00 pm - 3:00 pm","Points of Interest—Tennis Center","https://www.prospectpark.org/event/prospect-park-tennis-center-open-house/"
"Cancelled: Legend of Sleepy Hollow","October 26","2:00 pm - 5:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/legend-of-sleepy-hollow/"
"Sexual Health Mobile Medical Unit","October 27","10:00 am - 3:00 pm","Entrance—Parkside + Ocean Avenues","https://www.prospectpark.org/event/sexual-health-mobile-medical-unit-2/2025-10-27/"
"Wednesday Greenmarket at Bartel-Pritchard Square","October 29","8:00 am - 2:00 pm","Bartel-Pritchard Square","https://www.prospectpark.org/event/wednesday-greenmarket-at-bartel-pritchard-square/2025-10-29/"
"Prospect Park Stroller Walk","October 30","10:00 am - 11:00 am","Audubon Center","https://www.prospectpark.org/event/prospect-park-stroller-walk-4/2025-10-30/"
"Fall Fix Up","October 30","10:00 am - 1:00 pm","Prospect Park","https://www.prospectpark.org/event/fall-fix-up-4/2025-10-30/"
"Sexual Health Mobile Medical Unit","October 30","10:00 am - 3:00 pm","Grand Army Plaza","https://www.prospectpark.org/event/sexual-health-mobile-medical-unit/2025-10-30/"
"Canceled: October Weekday Nature Exploration","October 30","10:00 am - 3:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/october-weekday-nature-exploration/2025-10-30/"
"Carousel Rides","October 30","12:00 pm - 5:00 pm","Carousel","https://www.prospectpark.org/event/carousel-rides-8/2025-10-30/"
"Haunted Carousel","October 30","12:00 pm - 5:00 pm","Carousel","https://www.prospectpark.org/event/haunted-carousel-3/2025-10-30/"
"Prospect Park Wellness Walk","October 31","10:00 am - 11:00 am","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/prospect-park-wellness-walk-4/2025-10-31/"
"Canceled: October Weekday Nature Exploration","October 31","10:00 am - 3:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/october-weekday-nature-exploration/2025-10-31/"
"Carousel Rides","October 31","12:00 pm - 5:00 pm","Carousel","https://www.prospectpark.org/event/carousel-rides-8/2025-10-31/"
"Haunted Carousel","October 31","12:00 pm - 5:00 pm","Carousel","https://www.prospectpark.org/event/haunted-carousel-3/2025-10-31/"
"Harvest Fest + First Skate Weekend at Lakeside!","October 31","3:00 pm - 6:00 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside/2025-10-31/"
"FIDO Coffee Bark","November 1","7:30 am - 8:30 am","Long Meadow","https://www.prospectpark.org/event/fido-coffee-bark-2/2025-11-01/"
"Greenmarket at Grand Army Plaza","November 1","8:00 am - 4:00 pm","Grand Army Plaza","https://www.prospectpark.org/event/greenmarket-at-grand-army-plaza-2/2025-11-01/"
"Harvest Fest + First Skate Weekend at Lakeside!","November 1","9:00 am - 8:50 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside-2/2025-11-01/"
"Introduction to Birdwatching Outings","November 1","10:00 am - 12:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/introduction-to-birdwatching-outings-3/2025-11-01/"
"October Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/october-weekend-nature-exploration/2025-11-01/"
"November Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/november-weekend-nature-exploration/2025-11-01/"
"Spooktober! At Prospect Park Zoo","November 1","10:00 am - 5:30 pm","Points of Interest—Prospect Park Zoo","https://www.prospectpark.org/event/spooktober-at-prospect-park-zoo/2025-11-01/"
"Prospect Park Tours with Turnstile Tours","November 1","10:30 am - 12:30 pm","Prospect Park","https://www.prospectpark.org/event/prospect-park-tours-with-turnstile-tours-4/2025-11-01/"
"Voices of Lunáapeew/Lenape","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/voices-of-lunaapeew-lenape-2/2025-11-01/"
"ReImagine Lefferts Open Hours","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/reimagine-lefferts-open-hours-9-3/2025-11-01/"
"Haunted Carousel","October 31","12:00 pm - 5:00 pm","Carousel","https://www.prospectpark.org/event/haunted-carousel-3/2025-10-31/"
"Harvest Fest + First Skate Weekend at Lakeside!","October 31","3:00 pm - 6:00 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside/2025-10-31/"
"FIDO Coffee Bark","November 1","7:30 am - 8:30 am","Long Meadow","https://www.prospectpark.org/event/fido-coffee-bark-2/2025-11-01/"
"Greenmarket at Grand Army Plaza","November 1","8:00 am - 4:00 pm","Grand Army Plaza","https://www.prospectpark.org/event/greenmarket-at-grand-army-plaza-2/2025-11-01/"
"Harvest Fest + First Skate Weekend at Lakeside!","November 1","9:00 am - 8:50 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside-2/2025-11-01/"
"Introduction to Birdwatching Outings","November 1","10:00 am - 12:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/introduction-to-birdwatching-outings-3/2025-11-01/"
"October Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/october-weekend-nature-exploration/2025-11-01/"
"November Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/november-weekend-nature-exploration/2025-11-01/"
"Spooktober! At Prospect Park Zoo","November 1","10:00 am - 5:30 pm","Points of Interest—Prospect Park Zoo","https://www.prospectpark.org/event/spooktober-at-prospect-park-zoo/2025-11-01/"
"Prospect Park Tours with Turnstile Tours","November 1","10:30 am - 12:30 pm","Prospect Park","https://www.prospectpark.org/event/prospect-park-tours-with-turnstile-tours-4/2025-11-01/"
"Voices of Lunáapeew/Lenape","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/voices-of-lunaapeew-lenape-2/2025-11-01/"
"ReImagine Lefferts Open Hours","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/reimagine-lefferts-open-hours-9-3/2025-11-01/"
"Haunted Carousel","October 31","12:00 pm - 5:00 pm","Carousel","https://www.prospectpark.org/event/haunted-carousel-3/2025-10-31/"
"Harvest Fest + First Skate Weekend at Lakeside!","October 31","3:00 pm - 6:00 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside/2025-10-31/"
"FIDO Coffee Bark","November 1","7:30 am - 8:30 am","Long Meadow","https://www.prospectpark.org/event/fido-coffee-bark-2/2025-11-01/"
"Greenmarket at Grand Army Plaza","November 1","8:00 am - 4:00 pm","Grand Army Plaza","https://www.prospectpark.org/event/greenmarket-at-grand-army-plaza-2/2025-11-01/"
"Harvest Fest + First Skate Weekend at Lakeside!","November 1","9:00 am - 8:50 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside-2/2025-11-01/"
"Introduction to Birdwatching Outings","November 1","10:00 am - 12:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/introduction-to-birdwatching-outings-3/2025-11-01/"
"October Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/october-weekend-nature-exploration/2025-11-01/"
"November Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/november-weekend-nature-exploration/2025-11-01/"
"Spooktober! At Prospect Park Zoo","November 1","10:00 am - 5:30 pm","Points of Interest—Prospect Park Zoo","https://www.prospectpark.org/event/spooktober-at-prospect-park-zoo/2025-11-01/"
"Prospect Park Tours with Turnstile Tours","November 1","10:30 am - 12:30 pm","Prospect Park","https://www.prospectpark.org/event/prospect-park-tours-with-turnstile-tours-4/2025-11-01/"
"Voices of Lunáapeew/Lenape","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/voices-of-lunaapeew-lenape-2/2025-11-01/"
"ReImagine Lefferts Open Hours","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/reimagine-lefferts-open-hours-9-3/2025-11-01/"
"Haunted Carousel","October 31","12:00 pm - 5:00 pm","Carousel","https://www.prospectpark.org/event/haunted-carousel-3/2025-10-31/"
"Harvest Fest + First Skate Weekend at Lakeside!","October 31","3:00 pm - 6:00 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside/2025-10-31/"
"FIDO Coffee Bark","November 1","7:30 am - 8:30 am","Long Meadow","https://www.prospectpark.org/event/fido-coffee-bark-2/2025-11-01/"
"Greenmarket at Grand Army Plaza","November 1","8:00 am - 4:00 pm","Grand Army Plaza","https://www.prospectpark.org/event/greenmarket-at-grand-army-plaza-2/2025-11-01/"
"Harvest Fest + First Skate Weekend at Lakeside!","November 1","9:00 am - 8:50 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside-2/2025-11-01/"
"Introduction to Birdwatching Outings","November 1","10:00 am - 12:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/introduction-to-birdwatching-outings-3/2025-11-01/"
"October Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/october-weekend-nature-exploration/2025-11-01/"
"November Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/november-weekend-nature-exploration/2025-11-01/"
"Spooktober! At Prospect Park Zoo","November 1","10:00 am - 5:30 pm","Points of Interest—Prospect Park Zoo","https://www.prospectpark.org/event/spooktober-at-prospect-park-zoo/2025-11-01/"
"Prospect Park Tours with Turnstile Tours","November 1","10:30 am - 12:30 pm","Prospect Park","https://www.prospectpark.org/event/prospect-park-tours-with-turnstile-tours-4/2025-11-01/"
"Voices of Lunáapeew/Lenape","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/voices-of-lunaapeew-lenape-2/2025-11-01/"
"ReImagine Lefferts Open Hours","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/reimagine-lefferts-open-hours-9-3/2025-11-01/"
"Haunted Carousel","October 31","12:00 pm - 5:00 pm","Carousel","https://www.prospectpark.org/event/haunted-carousel-3/2025-10-31/"
"Harvest Fest + First Skate Weekend at Lakeside!","October 31","3:00 pm - 6:00 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside/2025-10-31/"
"FIDO Coffee Bark","November 1","7:30 am - 8:30 am","Long Meadow","https://www.prospectpark.org/event/fido-coffee-bark-2/2025-11-01/"
"Greenmarket at Grand Army Plaza","November 1","8:00 am - 4:00 pm","Grand Army Plaza","https://www.prospectpark.org/event/greenmarket-at-grand-army-plaza-2/2025-11-01/"
"Harvest Fest + First Skate Weekend at Lakeside!","November 1","9:00 am - 8:50 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside-2/2025-11-01/"
"Introduction to Birdwatching Outings","November 1","10:00 am - 12:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/introduction-to-birdwatching-outings-3/2025-11-01/"
"October Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/october-weekend-nature-exploration/2025-11-01/"
"November Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/november-weekend-nature-exploration/2025-11-01/"
"Spooktober! At Prospect Park Zoo","November 1","10:00 am - 5:30 pm","Points of Interest—Prospect Park Zoo","https://www.prospectpark.org/event/spooktober-at-prospect-park-zoo/2025-11-01/"
"Prospect Park Tours with Turnstile Tours","November 1","10:30 am - 12:30 pm","Prospect Park","https://www.prospectpark.org/event/prospect-park-tours-with-turnstile-tours-4/2025-11-01/"
"Voices of Lunáapeew/Lenape","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/voices-of-lunaapeew-lenape-2/2025-11-01/"
"ReImagine Lefferts Open Hours","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/reimagine-lefferts-open-hours-9-3/2025-11-01/"
"Haunted Carousel","October 31","12:00 pm - 5:00 pm","Carousel","https://www.prospectpark.org/event/haunted-carousel-3/2025-10-31/"
"Harvest Fest + First Skate Weekend at Lakeside!","October 31","3:00 pm - 6:00 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside/2025-10-31/"
"FIDO Coffee Bark","November 1","7:30 am - 8:30 am","Long Meadow","https://www.prospectpark.org/event/fido-coffee-bark-2/2025-11-01/"
"Greenmarket at Grand Army Plaza","November 1","8:00 am - 4:00 pm","Grand Army Plaza","https://www.prospectpark.org/event/greenmarket-at-grand-army-plaza-2/2025-11-01/"
"Harvest Fest + First Skate Weekend at Lakeside!","November 1","9:00 am - 8:50 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside-2/2025-11-01/"
"Introduction to Birdwatching Outings","November 1","10:00 am - 12:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/introduction-to-birdwatching-outings-3/2025-11-01/"
"October Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/october-weekend-nature-exploration/2025-11-01/"
"November Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/november-weekend-nature-exploration/2025-11-01/"
"Spooktober! At Prospect Park Zoo","November 1","10:00 am - 5:30 pm","Points of Interest—Prospect Park Zoo","https://www.prospectpark.org/event/spooktober-at-prospect-park-zoo/2025-11-01/"
"Prospect Park Tours with Turnstile Tours","November 1","10:30 am - 12:30 pm","Prospect Park","https://www.prospectpark.org/event/prospect-park-tours-with-turnstile-tours-4/2025-11-01/"
"Voices of Lunáapeew/Lenape","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/voices-of-lunaapeew-lenape-2/2025-11-01/"
"ReImagine Lefferts Open Hours","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/reimagine-lefferts-open-hours-9-3/2025-11-01/"
"Haunted Carousel","October 31","12:00 pm - 5:00 pm","Carousel","https://www.prospectpark.org/event/haunted-carousel-3/2025-10-31/"
"Harvest Fest + First Skate Weekend at Lakeside!","October 31","3:00 pm - 6:00 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside/2025-10-31/"
"FIDO Coffee Bark","November 1","7:30 am - 8:30 am","Long Meadow","https://www.prospectpark.org/event/fido-coffee-bark-2/2025-11-01/"
"Greenmarket at Grand Army Plaza","November 1","8:00 am - 4:00 pm","Grand Army Plaza","https://www.prospectpark.org/event/greenmarket-at-grand-army-plaza-2/2025-11-01/"
"Harvest Fest + First Skate Weekend at Lakeside!","November 1","9:00 am - 8:50 pm","Points of Interest—LeFrak Center at Lakeside","https://www.prospectpark.org/event/harvest-fest-first-skate-weekend-at-lakeside-2/2025-11-01/"
"Introduction to Birdwatching Outings","November 1","10:00 am - 12:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/introduction-to-birdwatching-outings-3/2025-11-01/"
"October Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/october-weekend-nature-exploration/2025-11-01/"
"November Weekend Nature Exploration","November 1","10:00 am - 1:00 pm","Points of Interest—Boathouse + Audubon Center","https://www.prospectpark.org/event/november-weekend-nature-exploration/2025-11-01/"
"Spooktober! At Prospect Park Zoo","November 1","10:00 am - 5:30 pm","Points of Interest—Prospect Park Zoo","https://www.prospectpark.org/event/spooktober-at-prospect-park-zoo/2025-11-01/"
"Prospect Park Tours with Turnstile Tours","November 1","10:30 am - 12:30 pm","Prospect Park","https://www.prospectpark.org/event/prospect-park-tours-with-turnstile-tours-4/2025-11-01/"
"Voices of Lunáapeew/Lenape","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/voices-of-lunaapeew-lenape-2/2025-11-01/"
"ReImagine Lefferts Open Hours","November 1","12:00 pm - 4:00 pm","Lefferts Historic House","https://www.prospectpark.org/event/reimagine-lefferts-open-hours-9-3/2025-11-01/"